## DSID    events    xsec[pb]*kfac*filter        lumi[fb-1]         name
---------  --------  --------------------------  -----------------  ------------------------------------------------------------------------------
##         ##        ====================        ##                 ##
##         ##        Diboson_DC14_MC15sim        ##                 ##
303014     200000    0.82795*1.0*1.0             241.56             mc15_13TeV.303014.Sherpa_CT10_VV_evev_50M150
303015     50000     0.23217*1.0*1.0             215.36             mc15_13TeV.303015.Sherpa_CT10_VV_evev_150M500
303016     50000     0.0093993*1.0*1.0           5319.55            mc15_13TeV.303016.Sherpa_CT10_VV_evev_500M1000
303017     49000     0.0011795*1.0*1.0           41543.03           mc15_13TeV.303017.Sherpa_CT10_VV_evev_1000M2000
303018     50000     0.00012414*1.0*1.0          402771.06          mc15_13TeV.303018.Sherpa_CT10_VV_evev_2000M3000
303019     50000     2.7399e-05*1.0*1.0          1824884.12         mc15_13TeV.303019.Sherpa_CT10_VV_evev_3000M4000
303020     50000     6.4562e-06*1.0*1.0          7744493.67         mc15_13TeV.303020.Sherpa_CT10_VV_evev_4000M5000
303021     49000     1.389e-06*1.0*1.0           35277177.83        mc15_13TeV.303021.Sherpa_CT10_VV_evev_5000M
303022     200000    1.4348*1.0*1.0              139.39             mc15_13TeV.303022.Sherpa_CT10_VV_llee_50M150
303023     50000     0.02*1.0*1.0                2500.0             mc15_13TeV.303023.Sherpa_CT10_VV_llee_150M500
303024     50000     0.00076199*1.0*1.0          65617.66           mc15_13TeV.303024.Sherpa_CT10_VV_llee_500M1000
303025     50000     4.9253e-05*1.0*1.0          1015166.59         mc15_13TeV.303025.Sherpa_CT10_VV_llee_1000M2000
303026     50000     1.3996e-06*1.0*1.0          35724492.71        mc15_13TeV.303026.Sherpa_CT10_VV_llee_2000M3000
303027     50000     8.2389e-08*1.0*1.0          606877131.66       mc15_13TeV.303027.Sherpa_CT10_VV_llee_3000M4000
303028     46500     6.3062e-09*1.0*1.0          7373695728.01      mc15_13TeV.303028.Sherpa_CT10_VV_llee_4000M5000
303029     48000     5.4441e-10*1.0*1.0          88168843335.0      mc15_13TeV.303029.Sherpa_CT10_VV_llee_5000M
303030     200000    0.91148*1.0*1.0             219.42             mc15_13TeV.303030.Sherpa_CT10_VV_lvee_50M150
303031     50000     257290.0*1.0*1.0            0.0                mc15_13TeV.303031.Sherpa_CT10_VV_lvee_150M500
303032     50000     0.0060272*1.0*1.0           8295.73            mc15_13TeV.303032.Sherpa_CT10_VV_lvee_500M1000
303033     50000     35096.0*1.0*1.0             0.0                mc15_13TeV.303033.Sherpa_CT10_VV_lvee_1000M2000
303034     49500     7.6162e-06*1.0*1.0          6499304.11         mc15_13TeV.303034.Sherpa_CT10_VV_lvee_2000M3000
303035     48500     4.0674e-07*1.0*1.0          119240792.64       mc15_13TeV.303035.Sherpa_CT10_VV_lvee_3000M4000
303036     48500     9.7264e-06*1.0*1.0          4986428.69         mc15_13TeV.303036.Sherpa_CT10_VV_lvee_4000M5000
303037     46000     2.4157e-06*1.0*1.0          19042099.6         mc15_13TeV.303037.Sherpa_CT10_VV_lvee_5000M
303038     200000    5.7027*1.0*1.0              35.07              mc15_13TeV.303038.Sherpa_CT10_VV_qqee_50M150
303039     50000     0.17567*1.0*1.0             284.62             mc15_13TeV.303039.Sherpa_CT10_VV_qqee_150M500
303040     50000     0.004075*1.0*1.0            12269.94           mc15_13TeV.303040.Sherpa_CT10_VV_qqee_500M1000
303041     50000     0.00031586*1.0*1.0          158297.98          mc15_13TeV.303041.Sherpa_CT10_VV_qqee_1000M2000
303042     50000     1.0039e-05*1.0*1.0          4980575.75         mc15_13TeV.303042.Sherpa_CT10_VV_qqee_2000M3000
303043     50000     6.6015e-07*1.0*1.0          75740362.04        mc15_13TeV.303043.Sherpa_CT10_VV_qqee_3000M4000
303044     50000     5.3459e-08*1.0*1.0          935296208.31       mc15_13TeV.303044.Sherpa_CT10_VV_qqee_4000M5000
303045     49500     4.8468e-09*1.0*1.0          10212923991.1      mc15_13TeV.303045.Sherpa_CT10_VV_qqee_5000M
303046     200000    0.83003*1.0*1.0             240.96             mc15_13TeV.303046.Sherpa_CT10_VV_muvmuv_50M150
303047     50000     0.2335*1.0*1.0              214.13             mc15_13TeV.303047.Sherpa_CT10_VV_muvmuv_150M500
303048     50000     0.0097999*1.0*1.0           5102.09            mc15_13TeV.303048.Sherpa_CT10_VV_muvmuv_500M1000
303049     50000     0.0011137*1.0*1.0           44895.39           mc15_13TeV.303049.Sherpa_CT10_VV_muvmuv_1000M2000
303050     50000     0.000134*1.0*1.0            373134.33          mc15_13TeV.303050.Sherpa_CT10_VV_muvmuv_2000M3000
303051     50000     2.74e-05*1.0*1.0            1824817.52         mc15_13TeV.303051.Sherpa_CT10_VV_muvmuv_3000M4000
303052     50000     6.4982e-06*1.0*1.0          7694438.46         mc15_13TeV.303052.Sherpa_CT10_VV_muvmuv_4000M5000
303053     50000     1.3982e-06*1.0*1.0          35760263.2         mc15_13TeV.303053.Sherpa_CT10_VV_muvmuv_5000M
303054     200000    1.2263*1.0*1.0              163.09             mc15_13TeV.303054.Sherpa_CT10_VV_llmumu_50M150
303055     50000     0.021013*1.0*1.0            2379.48            mc15_13TeV.303055.Sherpa_CT10_VV_llmumu_150M500
303056     50000     0.00072557*1.0*1.0          68911.34           mc15_13TeV.303056.Sherpa_CT10_VV_llmumu_500M1000
303057     50000     6.3946e-05*1.0*1.0          781909.74          mc15_13TeV.303057.Sherpa_CT10_VV_llmumu_1000M2000
303058     50000     1.6039e-06*1.0*1.0          31174013.34        mc15_13TeV.303058.Sherpa_CT10_VV_llmumu_2000M3000
303059     50000     9.3983e-08*1.0*1.0          532011108.39       mc15_13TeV.303059.Sherpa_CT10_VV_llmumu_3000M4000
303060     50000     7.6292e-09*1.0*1.0          6553767105.33      mc15_13TeV.303060.Sherpa_CT10_VV_llmumu_4000M5000
303061     48500     6.9756e-10*1.0*1.0          69528069270.0      mc15_13TeV.303061.Sherpa_CT10_VV_llmumu_5000M
303062     200000    0.91433*1.0*1.0             218.74             mc15_13TeV.303062.Sherpa_CT10_VV_lvmumu_50M150
303063     50000     0.1157*1.0*1.0              432.15             mc15_13TeV.303063.Sherpa_CT10_VV_lvmumu_150M500
303064     50000     24.247*1.0*1.0              2.06               mc15_13TeV.303064.Sherpa_CT10_VV_lvmumu_500M1000
303065     50000     0.00040954*1.0*1.0          122088.2           mc15_13TeV.303065.Sherpa_CT10_VV_lvmumu_1000M2000
303066     50000     7.9145e-06*1.0*1.0          6317518.48         mc15_13TeV.303066.Sherpa_CT10_VV_lvmumu_2000M3000
303067     49500     6.9018e-06*1.0*1.0          7172042.08         mc15_13TeV.303067.Sherpa_CT10_VV_lvmumu_3000M4000
303068     49500     4.1856e-05*1.0*1.0          1182626.15         mc15_13TeV.303068.Sherpa_CT10_VV_lvmumu_4000M5000
303069     47500     8.6773e-05*1.0*1.0          547405.3           mc15_13TeV.303069.Sherpa_CT10_VV_lvmumu_5000M
303070     200000    5.7042*1.0*1.0              35.06              mc15_13TeV.303070.Sherpa_CT10_VV_qqmumu_50M150
303071     50000     0.17411*1.0*1.0             287.17             mc15_13TeV.303071.Sherpa_CT10_VV_qqmumu_150M500
303072     50000     0.0040514*1.0*1.0           12341.41           mc15_13TeV.303072.Sherpa_CT10_VV_qqmumu_500M1000
303073     50000     0.00031102*1.0*1.0          160761.37          mc15_13TeV.303073.Sherpa_CT10_VV_qqmumu_1000M2000
303074     50000     1.0086e-05*1.0*1.0          4957366.65         mc15_13TeV.303074.Sherpa_CT10_VV_qqmumu_2000M3000
303075     50000     6.6207e-07*1.0*1.0          75520715.33        mc15_13TeV.303075.Sherpa_CT10_VV_qqmumu_3000M4000
303076     50000     5.4423e-08*1.0*1.0          918729213.75       mc15_13TeV.303076.Sherpa_CT10_VV_qqmumu_4000M5000
