
# DSID  events  xsec[pb]*kfac*filter    lumi            name
# ------------------------------------------------------------
301040 	149800 	17.48*1.0*1.0 		8.57 		mc15_13TeV.301040.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_120M180.merge.AOD.e3649_s2576_s2132_r6869_r6282
301041 	149800 	2.9209*1.0*1.0 		51.29 		mc15_13TeV.301041.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_180M250.merge.AOD.e3649_s2576_s2132_r6869_r6282
301042 	149600 	1.082*1.0*1.0 		138.26 		mc15_13TeV.301042.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_250M400.merge.AOD.e3649_s2576_s2132_r6869_r6282
301043 	148200 	0.1955*1.0*1.0 		758.06 		mc15_13TeV.301043.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_400M600.merge.AOD.e3649_s2576_s2132_r6869_r6282
301044 	150000 	0.037401*1.0*1.0 	4010.59 	mc15_13TeV.301044.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_600M800.merge.AOD.e3649_s2576_s2132_r6869_r6282
301045 	149400 	0.010607*1.0*1.0 	14085.04 	mc15_13TeV.301045.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_800M1000.merge.AOD.e3649_s2576_s2132_r6869_r6282
301046 	148000 	0.0042584*1.0*1.0 	34754.84 	mc15_13TeV.301046.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_1000M1250.merge.AOD.e3649_s2576_s2132_r6869_r6282
301047 	149800 	0.001422*1.0*1.0 	105344.59 	mc15_13TeV.301047.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_1250M1500.merge.AOD.e3649_s2576_s2132_r6869_r6282
301048 	50000 	0.00054521*1.0*1.0 	91707.78 	mc15_13TeV.301048.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_1500M1750.merge.AOD.e3649_s2576_s2132_r6869_r6282
301049 	48200 	0.00022991*1.0*1.0 	209647.25 	mc15_13TeV.301049.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_1750M2000.merge.AOD.e3649_s2576_s2132_r6869_r6282
